,Frequency,EFddec,EFfc,acceptor_type,Type,rHO,rOO,tOHO,sOHQM,OH_bond_order
97,3289.014,0.088881727606064,0.140194910696294,,hydroxide,2.13255557962741,2.69712082762341,114.73947450208,0.7263,0.7263
98,3053.3680000000004,0.041579388052929,0.073766632707804,OH-,water,1.92530780388487,2.87541877369193,159.440071735722,0.759,0.759
99,2831.1369999999997,0.052176107609193,0.102395363301113,OH-,water,1.78198470993185,2.75264903293935,162.407334046109,0.7259,0.7259
100,3537.1359999999995,0.039484915062477,0.069243699387706,H2O,hydroxide,3.0,3.5,100.0,0.889,0.889
101,3447.1699999999996,0.078169035415169,0.116835432745352,,hydroxide,2.21092636067282,2.67023258101268,107.274543294051,0.7626,0.7626
102,3511.792,0.038949746652394,0.06887560853861,OH-,hydroxide,3.0,3.5,100.0,0.8937,0.8937
103,3558.3859999999995,0.038240575410999,0.067867252323724,,hydroxide,3.0,3.5,100.0,0.8861,0.8861
104,3363.52,0.083084536030599,0.130612145912453,,hydroxide,2.20546307668027,2.75476673068701,113.95553199911,0.7512,0.7512
105,3465.068,0.045861030771246,0.087084348919489,H2O,hydroxide,2.32274183997981,3.21882047792426,152.009256910742,0.8541,0.8541
106,3435.3630000000003,0.078919976546022,0.121138907347506,,hydroxide,2.29009043153207,2.692520337591,103.483938291407,0.759,0.759
107,3546.2300000000005,0.011086238445146,0.009197890732836,,water,3.0,3.5,100.0,0.8417,0.8417
108,2723.3659999999995,0.100841800574235,0.1691268727895,OH-,hydroxide,1.70945995439838,2.54813473663526,138.285481028135,0.7174,0.7174
109,3497.041,0.043906295829851,0.077107768434006,OH-,hydroxide,3.0,3.5,100.0,0.876,0.876
110,3285.4300000000003,0.093622155615281,0.1507015453475,,hydroxide,1.94788782415723,2.54481134540461,116.492653520961,0.7127,0.7127
111,3520.076,0.039461250493276,0.066548769595341,OH-,hydroxide,3.0,3.5,100.0,0.8758,0.8758
112,3296.465,0.093058041366267,0.14940377147153,,hydroxide,1.95939112506921,2.54847949014702,115.914837792129,0.7137,0.7137
113,3520.0240000000003,0.039465267717866,0.06656220165194,OH-,hydroxide,3.0,3.5,100.0,0.8756,0.8756
114,3296.4930000000004,0.093064033484367,0.149408390813371,,hydroxide,1.9596314224677,2.54839079924629,115.891304840786,0.7137,0.7137
115,3522.001,0.039390335496882,0.066343848109634,OH-,hydroxide,3.0,3.5,100.0,0.876,0.876
116,3285.7850000000003,0.093598146545806,0.150643727804164,,hydroxide,1.94827278510993,2.54475170250459,116.471387934432,0.713,0.713
117,2938.782,0.048274306960502,0.082421556480259,OH-,water,1.8194493539305,2.78932012367062,163.517703934086,0.7391,0.7391
118,2936.5640000000003,0.048432894234668,0.08268838721172,OH-,water,1.81779620678447,2.78748481219181,163.498014864699,0.7381,0.7381
119,3530.662,0.035505587574702,0.063194325238723,,hydroxide,3.0,3.5,100.0,0.9116,0.9116
120,3495.764,0.060353588971439,0.085997054168904,,hydroxide,2.46638414799792,2.94870036931373,110.163779434854,0.8377,0.8377
121,2485.333,0.06472798483203,0.132287752899895,OH-,water,1.69692567976999,2.69453579608682,167.733207158487,0.7043,0.7043
122,2485.8940000000002,0.064731038428578,0.132289661719451,OH-,water,1.69692130589488,2.69470999801463,167.724639828224,0.7041,0.7041
123,3395.946,0.061905424142137,0.133365262785227,H2O,hydroxide,2.13153368340732,3.03759198170195,152.955064909663,0.8266,0.8266
124,3510.6649999999995,0.068136469819016,0.099671027264805,,hydroxide,3.0,3.5,100.0,0.7958,0.7958
125,3510.524,0.050927128873736,0.090971010558263,,hydroxide,3.0,3.5,100.0,0.8893,0.8893
126,3548.8229999999994,0.0347540798455,0.059327490364706,O2-,hydroxide,3.0,3.5,100.0,0.8764,0.8764
127,2837.504,0.095382318814851,0.184045647471266,OH-,hydroxide,1.72172117574246,2.60829346544824,145.732196938168,0.7428,0.7428
128,3569.0969999999998,0.037838589989978,0.073966886438473,,hydroxide,3.0,3.5,100.0,0.8781,0.8781
129,3504.577,0.01640331163852,0.028200523239134,O2-,water,2.49174737116346,2.96329762637842,109.435137441218,0.8212,0.8212
130,3161.751,0.041162744417579,0.071736189577128,O2-,water,1.93823358264684,2.71494358155009,133.341068883795,0.7697,0.7697
131,2483.531,0.061404626131715,0.110127843605417,OH-,water,1.64636614439195,2.65110670852759,169.637820026548,0.6973,0.6973
132,2938.297,0.049888595243282,0.112433860316416,H2O,water,1.74639056871594,2.72609094503467,165.942261890585,0.7321,0.7321
133,2951.3410000000003,0.046482921496491,0.102131519415049,H2O,water,1.73802674317773,2.68719980669488,157.892614365017,0.7446,0.7446
134,2415.781,0.063616972584146,0.113708256095795,OH-,water,1.62383027019452,2.630173482073,169.082183606901,0.6973,0.6973
135,3469.415,0.076964652091211,0.092615363083992,H2O,hydroxide,2.34151344533423,2.9605027493892,120.541324771697,0.7949,0.7949
136,3552.1450000000004,0.031958982948725,0.074162493074429,,hydroxide,3.0,3.5,100.0,0.9488,0.9488
137,3301.3899999999994,0.088634607856098,0.110146390313876,OH-,hydroxide,2.14334909160874,2.87880851419472,130.148979566216,0.7771,0.7771
138,3541.3100000000004,0.044618853635103,0.08192956560807,OH-,hydroxide,3.0,3.5,100.0,0.8821,0.8821
139,3362.4179999999997,0.03070294965967,0.059821580868436,H2O,water,2.12607602707429,3.04601937848399,155.429907120889,0.7965,0.7965
140,3487.7830000000004,0.02284941656805,0.038627576288243,H2O,water,2.37974562595802,3.18708118498499,139.572512322,0.8074,0.8074
141,2600.442,0.066492123713823,0.102754210743901,O2-,water,1.74885317279639,2.65338028750121,146.239877325,0.7389,0.7389
142,3524.5389999999998,0.010508241390145,0.018643455834447,O2-,water,3.0,3.5,100.0,0.8541,0.8541
143,3474.016,0.022863746385617,0.044805001663219,H2O,water,2.31902102849457,3.0410464179292,129.900263220413,0.8064,0.8064
144,3037.8940000000002,0.044097522752446,0.061268308502712,O2-,water,1.91014849844194,2.72911650687544,137.439492356298,0.7763,0.7763
